ID,Name,Description,CLTS_BIPA,CLTS_Name
p_u0070,p,,p,voiceless_bilabial_stop_consonant
b_u0062,b,,b,voiced_bilabial_stop_consonant
t_u0074,t,,t,voiceless_alveolar_stop_consonant
dz_u0064u0292,dʒ,,dʒ,voiced_post-alveolar_sibilant_affricate_consonant
k_u006B,k,,k,voiceless_velar_stop_consonant
g_u0067,g,,g,voiced_velar_stop_consonant
_u0294,ʔ,,ʔ,voiceless_glottal_stop_consonant
f_u0066,f,,f,voiceless_labio-dental_fricative_consonant
s_u0073,s,,s,voiceless_alveolar_sibilant_fricative_consonant
h_u0068,h,,h,voiceless_glottal_fricative_consonant
m_u006D,m,,m,voiced_bilabial_nasal_consonant
n_u006E,n,,n,voiced_alveolar_nasal_consonant
r_u0072,r,,r,voiced_alveolar_trill_consonant
i_u0069,i,,i,unrounded_close_front_vowel
e_u025B,ɛ,,ɛ,unrounded_open-mid_front_vowel
a_u0061,a,,a,unrounded_open_front_vowel
o_u0254,ɔ,,ɔ,rounded_open-mid_back_vowel
u_u0075,u,,u,rounded_close_back_vowel
d_u0064,d,,d,voiced_alveolar_stop_consonant
ts_u0074u0283,tʃ,,tʃ,voiceless_post-alveolar_sibilant_affricate_consonant
ng_u014B,ŋ,,ŋ,voiced_velar_nasal_consonant
v_u0076,v,,v,voiced_labio-dental_fricative_consonant
th_u03B8,θ,,θ,voiceless_dental_fricative_consonant
d_u00F0,ð,,ð,voiced_dental_fricative_consonant
z_u007A,z,,z,voiced_alveolar_sibilant_fricative_consonant
s_u0283,ʃ,,ʃ,voiceless_post-alveolar_sibilant_fricative_consonant
z_u0292,ʒ,,ʒ,voiced_post-alveolar_sibilant_fricative_consonant
r_u0279,ɹ,,ɹ,voiced_alveolar_approximant_consonant
j_u006A,j,,j,voiced_palatal_approximant_consonant
w_u0077,w,,w,voiced_labio-velar_approximant_consonant
l_u006C,l,,l,voiced_alveolar_lateral_approximant_consonant
i_u026A,ɪ,,ɪ,unrounded_near-close_near-front_vowel
e_u0065,e,,e,unrounded_close-mid_front_vowel
ae_u00E6,æ,,æ,unrounded_near-open_front_vowel
a_u0251,ɑ,,ɑ,unrounded_open_back_vowel
_u028C,ʌ,,ʌ,unrounded_open-mid_back_vowel
o_u006F,o,,o,rounded_close-mid_back_vowel
u_u028A,ʊ,,ʊ,rounded_near-close_near-back_vowel
_u025A,ɚ,,ə˞,rhotacized_unrounded_mid_central_vowel
oi_u0254u026A,ɔɪ,,ɔɪ,from_rounded_open-mid_back_to_unrounded_near-close_near-front_diphthong
ai_u0061u026A,aɪ,,aɪ,from_unrounded_open_front_to_unrounded_near-close_near-front_diphthong
au_u0061u028A,aʊ,,aʊ,from_unrounded_open_front_to_rounded_near-close_near-back_diphthong
bw_u0062u02B7,bʷ,,bʷ,labialized_voiced_bilabial_stop_consonant
kw_u006Bu02B7,kʷ,,kʷ,labialized_voiceless_velar_stop_consonant
gw_u0067u02B7,gʷ,,gʷ,labialized_voiced_velar_stop_consonant
n_u0272,ɲ,,ɲ,voiced_palatal_nasal_consonant
mw_u006Du02B7,mʷ,,mʷ,labialized_voiced_bilabial_nasal_consonant
fw_u0066u02B7,fʷ,,fʷ,labialized_voiceless_labio-dental_fricative_consonant
p_u0070u02BC,pʼ,,pʼ,voiceless_bilabial_ejective_stop_consonant
t_u0074u02BC,tʼ,,tʼ,voiceless_alveolar_ejective_stop_consonant
k_u006Bu02BC,kʼ,,kʼ,voiceless_velar_ejective_stop_consonant
ts_u0074u0283u02BC,tʃʼ,,tʃʼ,voiceless_post-alveolar_ejective_sibilant_affricate_consonant
pw_u0070u02B7u02BC,pʷʼ,,pʼʷ,labialized_voiceless_bilabial_ejective_stop_consonant
kw_u006Bu02B7u02BC,kʷʼ,,kʼʷ,labialized_voiceless_velar_ejective_stop_consonant
tw_u0074u02B7u02BC,tʷʼ,,tʼʷ,labialized_voiceless_alveolar_ejective_stop_consonant
hw_u0068u02B7,hʷ,,hʷ,labialized_voiceless_glottal_fricative_consonant
s_u0073u02BC,sʼ,,sʼ,voiceless_alveolar_ejective_sibilant_fricative_consonant
b_u0062u02D0,bː,,bː,long_voiced_bilabial_stop_consonant
t_u0074u02D0,tː,,tː,long_voiceless_alveolar_stop_consonant
d_u0064u02D0,dː,,dː,long_voiced_alveolar_stop_consonant
ts_u0074u0283u02D0,tʃː,,tʃː,long_voiceless_post-alveolar_sibilant_affricate_consonant
dz_u0064u0292u02D0,dʒː,,dʒː,long_voiced_post-alveolar_sibilant_affricate_consonant
k_u006Bu02D0,kː,,kː,long_voiceless_velar_stop_consonant
g_u0067u02D0,gː,,gː,long_voiced_velar_stop_consonant
bw_u0062u02B7u02D0,bʷː,,bʷː,labialized_long_voiced_bilabial_stop_consonant
kw_u006Bu02B7u02D0,kʷː,,kʷː,labialized_long_voiceless_velar_stop_consonant
gw_u0067u02B7u02D0,gʷː,,gʷː,labialized_long_voiced_velar_stop_consonant
m_u006Du02D0,mː,,mː,long_voiced_bilabial_nasal_consonant
n_u006Eu02D0,nː,,nː,long_voiced_alveolar_nasal_consonant
